,SegID
640,1477
641,34246
642,9012681
643,165324
644,132557
645,230862
646,34257
647,34262
648,34264
649,1500
650,132595
651,67067
652,165376
653,34307
654,34309
655,132615
656,165384
657,165386
658,165391
659,132625
660,132626
661,9012755
662,165394
663,165398
664,9012759
665,165400
666,67098
667,67100
668,67101
669,34332
670,34333
671,165408
672,165409
673,34338
674,34337
675,132646
676,34344
677,132652
678,165427
679,34356
680,67125
681,67126
682,67127
683,99896
684,34361
685,132668
686,99905
687,99906
688,67140
689,132677
690,9012807
691,230983
692,9012809
693,132688
694,34384
695,67152
696,34388
697,165461
698,34392
699,165465
700,34397
701,165470
702,34402
703,34404
704,34405
705,34406
706,165476
707,34408
708,165481
709,34410
710,132714
711,67174
712,165485
713,67175
714,165487
715,132711
716,9012849
717,1650
718,9012851
719,67186
720,34421
721,165491
722,165489
723,165498
724,99973
725,67208
726,67209
727,231048
728,67211
729,99980
730,67218
731,67221
732,67224
733,67225
734,67234
735,34468
736,34470
737,165544
738,165548
739,9012909
740,132782
741,9012911
742,34480
743,34482
744,34484
745,1717
746,165558
747,34487
748,34488
749,132793
750,165559
751,34497
752,67265
753,34502
754,34503
755,34505
756,34506
757,132810
758,132816
759,34512
760,132818
761,132819
762,67284
763,67287
764,34520
765,34526
766,165609
767,34537
768,165612
769,67309
770,67310
771,34543
772,67311
773,34542
774,165618
775,132867
776,165636
777,132873
778,132874
779,132875
780,132877
781,67345
782,132884
783,132886
784,132895
785,67363
786,67364
787,100131
788,67366
789,34602
790,34604
791,34605
792,67375
793,34607
794,67378
795,67379
796,132914
797,67382
798,67383
799,9013048
800,9013049
801,34617
802,100159
803,100161
804,67396
805,67402
806,67403
807,67404
808,67406
809,67412
810,34645
811,100183
812,9013080
813,100184
814,9013082
815,1882
816,1883
817,1885
818,34651
819,34654
820,34656
821,67425
822,67421
823,34659
824,67428
825,67429
826,67430
827,67427
828,34664
829,132969
830,67433
831,100195
832,165737
833,34669
834,1902
835,132971
836,34676
837,67445
838,67446
839,132982
840,34686
841,67460
842,67461
843,67465
844,133015
845,67480
846,133016
847,67485
848,67487
849,67496
850,67497
851,67502
852,100274
853,9013171
854,67508
855,67506
856,67511
857,67512
858,100287
859,100288
860,67521
861,67522
862,67523
863,67519
864,67525
865,67531
866,67533
867,9013207
868,165852
869,67550
870,165858
871,67556
872,165861
873,67557
874,67559
875,67560
876,67561
877,264169
878,133109
879,67573
880,67576
881,67577
882,165883
883,67582
884,67583
885,67588
886,67589
887,165906
888,67611
889,133149
890,264221
891,67615
892,67616
893,133153
894,264222
895,67619
896,264228
897,9013286
898,165927
899,264232
900,34858
901,67628
902,67630
903,67631
904,2099
905,67637
906,67638
907,67639
908,34871
909,67641
